Radius	Barionic density	Energy	Pressure	Energy density	Rest mass
4.10000000E-01	5.60714770E+15	2.06992809E+51	2.09826233E+36	7.13771536E+36	8.18993519E-04
4.20000000E-01	5.60474156E+15	2.22437002E+51	2.09646190E+36	7.13375240E+36	8.80275931E-04
4.30000000E-01	5.60227833E+15	2.38625323E+51	2.09461956E+36	7.12969622E+36	9.44532648E-04
4.40000000E-01	5.59975809E+15	2.55574618E+51	2.09273541E+36	7.12554699E+36	1.01183309E-03
4.50000000E-01	5.59718090E+15	2.73301672E+51	2.09080956E+36	7.12130488E+36	1.08224656E-03
4.60000000E-01	5.59454683E+15	2.91823209E+51	2.08884212E+36	7.11697006E+36	1.15584230E-03
4.70000000E-01	5.59185594E+15	3.11155888E+51	2.08683321E+36	7.11254269E+36	1.23268940E-03
4.80000000E-01	5.58910830E+15	3.31316305E+51	2.08478292E+36	7.10802296E+36	1.31285687E-03
4.90000000E-01	5.58630400E+15	3.52320988E+51	2.08269139E+36	7.10341104E+36	1.39641362E-03
5.00000000E-01	5.58344309E+15	3.74186399E+51	2.08055872E+36	7.09870712E+36	1.48342843E-03
5.10000000E-01	5.58052566E+15	3.96928933E+51	2.07838505E+36	7.09391138E+36	1.57396997E-03
5.20000000E-01	5.57755177E+15	4.20564912E+51	2.07617048E+36	7.08902402E+36	1.66810681E-03
5.30000000E-01	5.57452151E+15	4.45110589E+51	2.07391514E+36	7.08404522E+36	1.76590738E-03
5.40000000E-01	5.57143496E+15	4.70582143E+51	2.07161917E+36	7.07897519E+36	1.86743999E-03
5.50000000E-01	5.56829219E+15	4.96995683E+51	2.06928269E+36	7.07381413E+36	1.97277286E-03
5.60000000E-01	5.56509329E+15	5.24367237E+51	2.06690582E+36	7.06856224E+36	2.08197405E-03
5.70000000E-01	5.56183834E+15	5.52712764E+51	2.06448872E+36	7.06321973E+36	2.19511151E-03
5.80000000E-01	5.55852742E+15	5.82048139E+51	2.06203150E+36	7.05778681E+36	2.31225305E-03
5.90000000E-01	5.55516062E+15	6.12389163E+51	2.05953431E+36	7.05226369E+36	2.43346635E-03
6.00000000E-01	5.55173803E+15	6.43751556E+51	2.05699730E+36	7.04665060E+36	2.55881897E-03
6.10000000E-01	5.54825974E+15	6.76150955E+51	2.05442059E+36	7.04094776E+36	2.68837831E-03
6.20000000E-01	5.54472583E+15	7.09602918E+51	2.05180433E+36	7.03515538E+36	2.82221165E-03
6.30000000E-01	5.54113639E+15	7.44122916E+51	2.04914868E+36	7.02927371E+36	2.96038611E-03
6.40000000E-01	5.53749153E+15	7.79726338E+51	2.04645378E+36	7.02330297E+36	3.10296869E-03
6.50000000E-01	5.53379133E+15	8.16428487E+51	2.04371978E+36	7.01724339E+36	3.25002621E-03
6.60000000E-01	5.53003589E+15	8.54244578E+51	2.04094683E+36	7.01109522E+36	3.40162539E-03
6.70000000E-01	5.52622531E+15	8.93189738E+51	2.03813508E+36	7.00485870E+36	3.55783274E-03
6.80000000E-01	5.52235968E+15	9.33279005E+51	2.03528471E+36	6.99853407E+36	3.71871466E-03
6.90000000E-01	5.51843911E+15	9.74527326E+51	2.03239585E+36	6.99212158E+36	3.88433738E-03
7.00000000E-01	5.51446369E+15	1.01694956E+52	2.02946868E+36	6.98562148E+36	4.05476696E-03
