2022-01-03 16:06:01
Density	Radius	Energy	Rest mass
2.26242868E+20	1.51942969E+00	2.53410565E+57	3.08474206E+01
2.27589552E+20	1.51658594E+00	2.53901453E+57	3.08474206E+01
2.28936235E+20	1.51344531E+00	2.54390408E+57	3.08474206E+01
2.30282919E+20	1.51062500E+00	2.54877449E+57	3.08474206E+01
2.31629603E+20	1.50758594E+00	2.55362596E+57	3.08474206E+01
2.32976287E+20	1.50471094E+00	2.55845865E+57	3.08474206E+01
2.34322970E+20	1.50173438E+00	2.56327276E+57	3.08474206E+01
2.35669654E+20	1.49891406E+00	2.56806846E+57	3.08474206E+01
2.37016338E+20	1.49600000E+00	2.57284592E+57	3.08474206E+01
2.38363021E+20	1.49329688E+00	2.57760532E+57	3.08474206E+01
2.39709705E+20	1.49058594E+00	2.58234683E+57	3.08474206E+01
2.41056389E+20	1.48764844E+00	2.58707061E+57	3.08474206E+01
2.42403073E+20	1.48490625E+00	2.59177684E+57	3.08474206E+01
2.43749756E+20	1.48212500E+00	2.59646566E+57	3.08474206E+01
2.45096440E+20	1.47943750E+00	2.60113725E+57	3.08474206E+01
2.46443124E+20	1.47679688E+00	2.60579175E+57	3.08474206E+01
2.47789808E+20	1.47398438E+00	2.61042933E+57	3.08474206E+01
2.49136491E+20	1.47140625E+00	2.61505014E+57	3.08474206E+01
2.50483175E+20	1.46880469E+00	2.61965432E+57	3.08474206E+01
2.51829859E+20	1.46610156E+00	2.62424203E+57	3.08474206E+01
2.53176543E+20	1.46353125E+00	2.62881342E+57	3.08474206E+01
2.54523226E+20	1.46094531E+00	2.63336862E+57	3.08474206E+01
2.55869910E+20	1.45850000E+00	2.63790779E+57	3.08474206E+01
2.57216594E+20	1.45580469E+00	2.64243105E+57	3.08474206E+01
2.58563277E+20	1.45332813E+00	2.64693856E+57	3.08474206E+01
2.59909961E+20	1.45082031E+00	2.65143044E+57	3.08474206E+01
2.61256645E+20	1.44844531E+00	2.65590683E+57	3.08474206E+01
2.62603329E+20	1.44578125E+00	2.66036786E+57	3.08474206E+01
2.63950012E+20	1.44337500E+00	2.66481367E+57	3.08474206E+01
2.65296696E+20	1.44090625E+00	2.66924439E+57	3.08474206E+01
2.66643380E+20	1.43860156E+00	2.67366013E+57	3.08474206E+01
2.67990064E+20	1.43598438E+00	2.67806103E+57	3.08474206E+01
2.69336747E+20	1.43365625E+00	2.68244721E+57	3.08474206E+01
2.70683431E+20	1.43132031E+00	2.68681880E+57	3.08474206E+01
2.72030115E+20	1.42892188E+00	2.69117591E+57	3.08474206E+01
2.73376799E+20	1.42665625E+00	2.69551866E+57	3.08474206E+01
2.74723482E+20	1.42425000E+00	2.69984718E+57	3.08474206E+01
2.76070166E+20	1.42185938E+00	2.70416157E+57	3.08474206E+01
2.77416850E+20	1.41962500E+00	2.70846196E+57	3.08474206E+01
2.78763534E+20	1.41734375E+00	2.71274845E+57	3.08474206E+01
2.80110217E+20	1.41504688E+00	2.71702116E+57	3.08474206E+01
2.81456901E+20	1.41282031E+00	2.72128019E+57	3.08474206E+01
2.82803585E+20	1.41064063E+00	2.72552566E+57	3.08474206E+01
2.84150268E+20	1.40845313E+00	2.72975768E+57	3.08474206E+01
2.85496952E+20	1.40603125E+00	2.73397634E+57	3.08474206E+01
2.86843636E+20	1.40383594E+00	2.73818176E+57	3.08474206E+01
2.88190320E+20	1.40167969E+00	2.74237404E+57	3.08474206E+01
2.89537003E+20	1.39950781E+00	2.74655327E+57	3.08474206E+01
2.90883687E+20	1.39738281E+00	2.75071957E+57	3.08474206E+01
2.92230371E+20	1.39528125E+00	2.75487303E+57	3.08474206E+01
2.93577055E+20	1.39309375E+00	2.75901375E+57	3.08474206E+01
2.94923738E+20	1.39094531E+00	2.76314182E+57	3.08474206E+01
2.96270422E+20	1.38885938E+00	2.76725735E+57	3.08474206E+01
2.97617106E+20	1.38679688E+00	2.77136042E+57	3.08474206E+01
2.98963790E+20	1.38471094E+00	2.77545114E+57	3.08474206E+01
3.00310473E+20	1.38267188E+00	2.77952959E+57	3.08474206E+01
3.01657157E+20	1.38064063E+00	2.78359587E+57	3.08474206E+01
3.03003841E+20	1.37860156E+00	2.78765006E+57	3.08474206E+01
3.04350525E+20	1.37658594E+00	2.79169225E+57	3.08474206E+01
3.05697208E+20	1.37453906E+00	2.79572254E+57	3.08474206E+01
3.07043892E+20	1.37253125E+00	2.79974101E+57	3.08474206E+01
3.08390576E+20	1.37053125E+00	2.80374775E+57	3.08474206E+01
3.09737259E+20	1.36853906E+00	2.80774284E+57	3.08474206E+01
3.11083943E+20	1.36658594E+00	2.81172637E+57	3.08474206E+01
3.12430627E+20	1.36460156E+00	2.81569842E+57	3.08474206E+01
3.13777311E+20	1.36264063E+00	2.81965907E+57	3.08474206E+01
3.15123994E+20	1.36066406E+00	2.82360840E+57	3.08474206E+01
3.16470678E+20	1.35870313E+00	2.82754650E+57	3.08474206E+01
3.17817362E+20	1.35678125E+00	2.83147344E+57	3.08474206E+01
3.19164046E+20	1.35483594E+00	2.83538931E+57	3.08474206E+01
3.20510729E+20	1.35291406E+00	2.83929417E+57	3.08474206E+01
3.21857413E+20	1.35100781E+00	2.84318811E+57	3.08474206E+01
3.23204097E+20	1.34921875E+00	2.84707121E+57	3.08474206E+01
3.24550781E+20	1.34732031E+00	2.85094353E+57	3.08474206E+01
3.25897464E+20	1.34541406E+00	2.85480516E+57	3.08474206E+01
3.27244148E+20	1.34359375E+00	2.85865616E+57	3.08474206E+01
3.28590832E+20	1.34170313E+00	2.86249662E+57	3.08474206E+01
3.29937516E+20	1.33985156E+00	2.86632659E+57	3.08474206E+01
3.31284199E+20	1.33803125E+00	2.87014616E+57	3.08474206E+01
3.32630883E+20	1.33628906E+00	2.87395539E+57	3.08474206E+01
3.33977567E+20	1.33460938E+00	2.87775435E+57	3.08474206E+01
3.35324250E+20	1.33274219E+00	2.88154311E+57	3.08474206E+01
3.36670934E+20	1.33091406E+00	2.88532174E+57	3.08474206E+01
3.38017618E+20	1.32921875E+00	2.88909031E+57	3.08474206E+01
3.39364302E+20	1.32739844E+00	2.89284889E+57	3.08474206E+01
3.40710985E+20	1.32564063E+00	2.89659753E+57	3.08474206E+01
3.42057669E+20	1.32384375E+00	2.90033631E+57	3.08474206E+01
3.43404353E+20	1.32211719E+00	2.90406528E+57	3.08474206E+01
3.44751037E+20	1.32055469E+00	2.90778453E+57	3.08474206E+01
3.46097720E+20	1.31878125E+00	2.91149409E+57	3.08474206E+01
3.47444404E+20	1.31700781E+00	2.91519405E+57	3.08474206E+01
3.48791088E+20	1.31534375E+00	2.91888446E+57	3.08474206E+01
3.50137772E+20	1.31363281E+00	2.92256539E+57	3.08474206E+01
3.51484455E+20	1.31189844E+00	2.92623688E+57	3.08474206E+01
3.52831139E+20	1.31028906E+00	2.92989901E+57	3.08474206E+01
3.54177823E+20	1.30868750E+00	2.93355184E+57	3.08474206E+01
3.55524507E+20	1.30695313E+00	2.93719541E+57	3.08474206E+01
3.56871190E+20	1.30534375E+00	2.94082980E+57	3.08474206E+01
3.58217874E+20	1.30366406E+00	2.94445506E+57	3.08474206E+01
3.59564558E+20	1.30196875E+00	2.94807124E+57	3.08474206E+01
3.60911241E+20	1.30054688E+00	2.95167840E+57	3.08474206E+01
3.62257925E+20	1.29884375E+00	2.95527660E+57	3.08474206E+01
3.63604609E+20	1.29728125E+00	2.95886590E+57	3.08474206E+01
3.64951293E+20	1.29561719E+00	2.96244634E+57	3.08474206E+01
3.66297976E+20	1.29395313E+00	2.96601799E+57	3.08474206E+01
3.67644660E+20	1.29259375E+00	2.96958089E+57	3.08474206E+01
3.68991344E+20	1.29089063E+00	2.97313510E+57	3.08474206E+01
3.70338028E+20	1.28933594E+00	2.97668068E+57	3.08474206E+01
3.71684711E+20	1.28771094E+00	2.98021767E+57	3.08474206E+01
3.73031395E+20	1.28621875E+00	2.98374612E+57	3.08474206E+01
3.74378079E+20	1.28471094E+00	2.98726610E+57	3.08474206E+01
3.75724763E+20	1.28313281E+00	2.99077764E+57	3.08474206E+01
3.77071446E+20	1.28160156E+00	2.99428081E+57	3.08474206E+01
3.78418130E+20	1.27997656E+00	2.99777564E+57	3.08474206E+01
3.79764814E+20	1.27864844E+00	3.00126219E+57	3.08474206E+01
3.81111497E+20	1.27703906E+00	3.00474051E+57	3.08474206E+01
3.82458181E+20	1.27553906E+00	3.00821064E+57	3.08474206E+01
3.83804865E+20	1.27396875E+00	3.01167264E+57	3.08474206E+01
3.85151549E+20	1.27265625E+00	3.01512655E+57	3.08474206E+01
3.86498232E+20	1.27110156E+00	3.01857241E+57	3.08474206E+01
3.87844916E+20	1.26961719E+00	3.02201028E+57	3.08474206E+01
