2022-01-02 19:48:44
Radius	Barionic density	Energy	Pressure	Energy density	Rest mass	Radius metric	Time metric
3.22000000E-02	4.17756301E-01	8.30590098E-05	1.74520327E-01	5.92276628E-01	5.86386852E-05	4.00614467E-01	1.00258950E+00
3.24000000E-02	4.17728406E-01	8.46119405E-05	1.74497021E-01	5.92225427E-01	5.97368940E-05	4.00626644E-01	1.00262175E+00
3.26000000E-02	4.17700340E-01	8.61840258E-05	1.74473574E-01	5.92173914E-01	6.08487064E-05	4.00638896E-01	1.00265421E+00
3.28000000E-02	4.17672103E-01	8.77753804E-05	1.74449986E-01	5.92122089E-01	6.19742054E-05	4.00651224E-01	1.00268687E+00
3.30000000E-02	4.17643695E-01	8.93861192E-05	1.74426256E-01	5.92069951E-01	6.31134740E-05	4.00663627E-01	1.00271973E+00
3.32000000E-02	4.17615116E-01	9.10163569E-05	1.74402385E-01	5.92017500E-01	6.42665952E-05	4.00676106E-01	1.00275278E+00
3.34000000E-02	4.17586365E-01	9.26662082E-05	1.74378372E-01	5.91964738E-01	6.54336519E-05	4.00688660E-01	1.00278604E+00
3.36000000E-02	4.17557444E-01	9.43357877E-05	1.74354219E-01	5.91911663E-01	6.66147271E-05	4.00701290E-01	1.00281949E+00
3.38000000E-02	4.17528352E-01	9.60252101E-05	1.74329925E-01	5.91858276E-01	6.78099037E-05	4.00713995E-01	1.00285315E+00
3.40000000E-02	4.17499089E-01	9.77345897E-05	1.74305489E-01	5.91804578E-01	6.90192646E-05	4.00726775E-01	1.00288700E+00
3.42000000E-02	4.17469655E-01	9.94640410E-05	1.74280912E-01	5.91750567E-01	7.02428927E-05	4.00739631E-01	1.00292105E+00
3.44000000E-02	4.17440050E-01	1.01213678E-04	1.74256195E-01	5.91696245E-01	7.14808709E-05	4.00752563E-01	1.00295531E+00
3.46000000E-02	4.17410274E-01	1.02983616E-04	1.74231337E-01	5.91641611E-01	7.27332821E-05	4.00765570E-01	1.00298976E+00
3.48000000E-02	4.17380327E-01	1.04773969E-04	1.74206338E-01	5.91586665E-01	7.40002090E-05	4.00778652E-01	1.00302441E+00
3.50000000E-02	4.17350210E-01	1.06584850E-04	1.74181198E-01	5.91531408E-01	7.52817345E-05	4.00791810E-01	1.00305926E+00
3.52000000E-02	4.17319922E-01	1.08416374E-04	1.74155917E-01	5.91475839E-01	7.65779413E-05	4.00805044E-01	1.00309431E+00
3.54000000E-02	4.17289463E-01	1.10268655E-04	1.74130496E-01	5.91419959E-01	7.78889124E-05	4.00818352E-01	1.00312956E+00
3.56000000E-02	4.17258833E-01	1.12141807E-04	1.74104934E-01	5.91363767E-01	7.92147303E-05	4.00831737E-01	1.00316501E+00
3.58000000E-02	4.17228033E-01	1.14035944E-04	1.74079232E-01	5.91307265E-01	8.05554779E-05	4.00845197E-01	1.00320066E+00
3.60000000E-02	4.17197062E-01	1.15951180E-04	1.74053389E-01	5.91250451E-01	8.19112378E-05	4.00858732E-01	1.00323651E+00
3.62000000E-02	4.17165921E-01	1.17887628E-04	1.74027406E-01	5.91193327E-01	8.32820929E-05	4.00872343E-01	1.00327256E+00
3.64000000E-02	4.17134609E-01	1.19845402E-04	1.74001282E-01	5.91135891E-01	8.46681257E-05	4.00886029E-01	1.00330881E+00
3.66000000E-02	4.17103127E-01	1.21824616E-04	1.73975018E-01	5.91078145E-01	8.60694189E-05	4.00899790E-01	1.00334525E+00
3.68000000E-02	4.17071474E-01	1.23825384E-04	1.73948614E-01	5.91020088E-01	8.74860551E-05	4.00913628E-01	1.00338190E+00
3.70000000E-02	4.17039650E-01	1.25847818E-04	1.73922070E-01	5.90961720E-01	8.89181170E-05	4.00927540E-01	1.00341874E+00
3.72000000E-02	4.17007656E-01	1.27892033E-04	1.73895385E-01	5.90903042E-01	9.03656873E-05	4.00941528E-01	1.00345579E+00
3.74000000E-02	4.16975492E-01	1.29958141E-04	1.73868561E-01	5.90844053E-01	9.18288483E-05	4.00955592E-01	1.00349303E+00
3.76000000E-02	4.16943157E-01	1.32046256E-04	1.73841597E-01	5.90784754E-01	9.33076828E-05	4.00969731E-01	1.00353048E+00
3.78000000E-02	4.16910653E-01	1.34156492E-04	1.73814492E-01	5.90725145E-01	9.48022733E-05	4.00983946E-01	1.00356812E+00
3.80000000E-02	4.16877977E-01	1.36288961E-04	1.73787248E-01	5.90665225E-01	9.63127022E-05	4.00998236E-01	1.00360596E+00
3.82000000E-02	4.16845132E-01	1.38443776E-04	1.73759864E-01	5.90604996E-01	9.78390521E-05	4.01012601E-01	1.00364400E+00
