2022-01-02 19:47:45
Density	Radius	Energy	Rest mass
1.16008840E+01	5.51985645E-01	1.05844777E-01	9.92978672E-02
1.17008830E+01	5.52156445E-01	1.05917186E-01	9.93900930E-02
1.18008820E+01	5.52338477E-01	1.05988492E-01	9.94809253E-02
1.19008810E+01	5.52484473E-01	1.06058704E-01	9.95703744E-02
1.20008800E+01	5.52635498E-01	1.06127831E-01	9.96584516E-02
1.21008790E+01	5.52785840E-01	1.06195883E-01	9.97451686E-02
1.22008780E+01	5.52938135E-01	1.06262869E-01	9.98305374E-02
1.23008770E+01	5.53054492E-01	1.06328800E-01	9.99145708E-02
1.24008760E+01	5.53188770E-01	1.06393685E-01	9.99972816E-02
1.25008750E+01	5.53306982E-01	1.06457535E-01	1.00078683E-01
1.26008740E+01	5.53425732E-01	1.06520362E-01	1.00158789E-01
1.27008730E+01	5.53547217E-01	1.06582177E-01	1.00237614E-01
1.28008720E+01	5.53646875E-01	1.06642990E-01	1.00315171E-01
1.29008710E+01	5.53754492E-01	1.06702814E-01	1.00391475E-01
1.30008700E+01	5.53847266E-01	1.06761660E-01	1.00466541E-01
1.31008690E+01	5.53948242E-01	1.06819540E-01	1.00540383E-01
1.32008680E+01	5.54028223E-01	1.06876465E-01	1.00613015E-01
1.33008670E+01	5.54112012E-01	1.06932448E-01	1.00684454E-01
1.34008660E+01	5.54196533E-01	1.06987501E-01	1.00754713E-01
1.35008650E+01	5.54272998E-01	1.07041634E-01	1.00823808E-01
1.36008640E+01	5.54348340E-01	1.07094861E-01	1.00891753E-01
1.37008630E+01	5.54409229E-01	1.07147194E-01	1.00958565E-01
1.38008620E+01	5.54474854E-01	1.07198644E-01	1.01024257E-01
1.39008610E+01	5.54543555E-01	1.07249224E-01	1.01088846E-01
1.40008600E+01	5.54593457E-01	1.07298945E-01	1.01152345E-01
1.41008590E+01	5.54643506E-01	1.07347820E-01	1.01214770E-01
1.42008580E+01	5.54693848E-01	1.07395860E-01	1.01276136E-01
1.43008570E+01	5.54747998E-01	1.07443077E-01	1.01336458E-01
1.44008560E+01	5.54787500E-01	1.07489482E-01	1.01395750E-01
1.45008550E+01	5.54823340E-01	1.07535089E-01	1.01454027E-01
1.46008540E+01	5.54868994E-01	1.07579907E-01	1.01511303E-01
1.47008530E+01	5.54896436E-01	1.07623949E-01	1.01567594E-01
1.48008520E+01	5.54942187E-01	1.07667226E-01	1.01622913E-01
1.49008510E+01	5.54968994E-01	1.07709750E-01	1.01677275E-01
1.50008500E+01	5.54987402E-01	1.07751531E-01	1.01730693E-01
1.51008490E+01	5.55006982E-01	1.07792581E-01	1.01783182E-01
1.52008480E+01	5.55027246E-01	1.07832911E-01	1.01834756E-01
1.53008470E+01	5.55046973E-01	1.07872531E-01	1.01885428E-01
1.54008460E+01	5.55069531E-01	1.07911453E-01	1.01935212E-01
1.55008450E+01	5.55084619E-01	1.07949688E-01	1.01984122E-01
1.56008440E+01	5.55092773E-01	1.07987244E-01	1.02032170E-01
1.57008430E+01	5.55100195E-01	1.08024134E-01	1.02079370E-01
1.58008420E+01	5.55108545E-01	1.08060368E-01	1.02125734E-01
1.59008410E+01	5.55113232E-01	1.08095955E-01	1.02171276E-01
1.60008400E+01	5.55138477E-01	1.08130906E-01	1.02216009E-01
1.61008390E+01	5.55138184E-01	1.08165231E-01	1.02259944E-01
1.62008380E+01	5.55138184E-01	1.08198939E-01	1.02303095E-01
1.63008370E+01	5.55138135E-01	1.08232040E-01	1.02345473E-01
1.64008360E+01	5.55139160E-01	1.08264544E-01	1.02387090E-01
1.65008350E+01	5.55111963E-01	1.08296461E-01	1.02427959E-01
1.66008340E+01	5.55106006E-01	1.08327799E-01	1.02468090E-01
1.67008330E+01	5.55099414E-01	1.08358567E-01	1.02507497E-01
1.68008320E+01	5.55092725E-01	1.08388775E-01	1.02546189E-01
1.69008310E+01	5.55084521E-01	1.08418432E-01	1.02584180E-01
