2022-01-02 19:47:45
Density	Radius	Energy	Rest mass
2.68000850E+17	5.54278320E+00	1.32037175E+54	7.00614636E-01
2.69347521E+17	5.54242285E+00	1.32056953E+54	7.00756764E-01
2.70694191E+17	5.54202246E+00	1.32076335E+54	7.00896056E-01
2.72040861E+17	5.54171533E+00	1.32095327E+54	7.01032559E-01
2.73387532E+17	5.54138477E+00	1.32113936E+54	7.01166319E-01
2.74734202E+17	5.54086475E+00	1.32132169E+54	7.01297378E-01
2.76080872E+17	5.54043799E+00	1.32150031E+54	7.01425782E-01
2.77427542E+17	5.54004248E+00	1.32167528E+54	7.01551572E-01
2.78774213E+17	5.53971533E+00	1.32184666E+54	7.01674792E-01
2.80120883E+17	5.53938135E+00	1.32201451E+54	7.01795482E-01
2.81467553E+17	5.53884521E+00	1.32217890E+54	7.01913684E-01
2.82814223E+17	5.53838232E+00	1.32233986E+54	7.02029437E-01
2.84160894E+17	5.53798242E+00	1.32249747E+54	7.02142782E-01
2.85507564E+17	5.53758545E+00	1.32265177E+54	7.02253757E-01
2.86854234E+17	5.53709668E+00	1.32280282E+54	7.02362401E-01
2.88200905E+17	5.53671973E+00	1.32295068E+54	7.02468750E-01
2.89547575E+17	5.53624512E+00	1.32309538E+54	7.02572843E-01
2.90894245E+17	5.53586719E+00	1.32323699E+54	7.02674715E-01
2.92240915E+17	5.53546582E+00	1.32337556E+54	7.02774403E-01
2.93587586E+17	5.53496289E+00	1.32351113E+54	7.02871941E-01
2.94934256E+17	5.53449463E+00	1.32364375E+54	7.02967365E-01
2.96280926E+17	5.53406250E+00	1.32377348E+54	7.03060708E-01
2.97627596E+17	5.53371338E+00	1.32390035E+54	7.03152004E-01
2.98974267E+17	5.53317187E+00	1.32402442E+54	7.03241286E-01
3.00320937E+17	5.53274658E+00	1.32414572E+54	7.03328586E-01
3.01667607E+17	5.53226465E+00	1.32426431E+54	7.03413937E-01
3.03014277E+17	5.53187207E+00	1.32438023E+54	7.03497370E-01
3.04360948E+17	5.53146387E+00	1.32449352E+54	7.03578916E-01
3.05707618E+17	5.53093408E+00	1.32460422E+54	7.03658605E-01
3.07054288E+17	5.53046680E+00	1.32471238E+54	7.03736466E-01
3.08400959E+17	5.53002246E+00	1.32481804E+54	7.03812531E-01
3.09747629E+17	5.52969043E+00	1.32492124E+54	7.03886826E-01
3.11094299E+17	5.52909082E+00	1.32502201E+54	7.03959382E-01
3.12440969E+17	5.52871143E+00	1.32512040E+54	7.04030226E-01
3.13787640E+17	5.52818750E+00	1.32521645E+54	7.04099385E-01
3.15134310E+17	5.52777295E+00	1.32531019E+54	7.04166887E-01
3.16480980E+17	5.52742725E+00	1.32540166E+54	7.04232758E-01
3.17827650E+17	5.52684814E+00	1.32549090E+54	7.04297024E-01
3.19174321E+17	5.52636475E+00	1.32557794E+54	7.04359712E-01
3.20520991E+17	5.52592920E+00	1.32566282E+54	7.04420846E-01
3.21867661E+17	5.52549414E+00	1.32574557E+54	7.04480452E-01
3.23214332E+17	5.52496973E+00	1.32582624E+54	7.04538555E-01
3.24561002E+17	5.52449707E+00	1.32590484E+54	7.04595178E-01
3.25907672E+17	5.52405225E+00	1.32598142E+54	7.04650345E-01
3.27254342E+17	5.52369336E+00	1.32605601E+54	7.04704079E-01
3.28601013E+17	5.52310840E+00	1.32612864E+54	7.04756405E-01
3.29947683E+17	5.52271338E+00	1.32619934E+54	7.04807343E-01
3.31294353E+17	5.52221045E+00	1.32626815E+54	7.04856917E-01
3.32641023E+17	5.52178076E+00	1.32633508E+54	7.04905149E-01
3.33987694E+17	5.52142187E+00	1.32640019E+54	7.04952060E-01
3.35334364E+17	5.52085596E+00	1.32646348E+54	7.04997671E-01
3.36681034E+17	5.52036768E+00	1.32652500E+54	7.05042003E-01
3.38027704E+17	5.51993457E+00	1.32658477E+54	7.05085078E-01
3.39374375E+17	5.51950000E+00	1.32664282E+54	7.05126914E-01
3.40721045E+17	5.51898242E+00	1.32669918E+54	7.05167532E-01
3.42067715E+17	5.51851025E+00	1.32675387E+54	7.05206951E-01
3.43414386E+17	5.51806592E+00	1.32680692E+54	7.05245191E-01
3.44761056E+17	5.51771045E+00	1.32685837E+54	7.05282271E-01
3.46107726E+17	5.51713086E+00	1.32690822E+54	7.05318210E-01
3.47454396E+17	5.51673096E+00	1.32695652E+54	7.05353025E-01
3.48801067E+17	5.51623486E+00	1.32700328E+54	7.05386734E-01
3.50147737E+17	5.51585498E+00	1.32704853E+54	7.05419357E-01
3.51494407E+17	5.51543506E+00	1.32709229E+54	7.05450909E-01
3.52841077E+17	5.51488721E+00	1.32713460E+54	7.05481408E-01
3.54187748E+17	5.51443213E+00	1.32717546E+54	7.05510872E-01
3.55534418E+17	5.51399121E+00	1.32721491E+54	7.05539317E-01
3.56881088E+17	5.51356152E+00	1.32725297E+54	7.05566759E-01
3.58227759E+17	5.51305811E+00	1.32728966E+54	7.05593214E-01
3.59574429E+17	5.51269092E+00	1.32732500E+54	7.05618699E-01
3.60921099E+17	5.51218213E+00	1.32735901E+54	7.05643228E-01
3.62267769E+17	5.51177344E+00	1.32739172E+54	7.05666818E-01
3.63614440E+17	5.51142187E+00	1.32742315E+54	7.05689484E-01
3.64961110E+17	5.51086475E+00	1.32745332E+54	7.05711240E-01
3.66307780E+17	5.51039160E+00	1.32748224E+54	7.05732101E-01
3.67654450E+17	5.50997314E+00	1.32750994E+54	7.05752081E-01
